doc_ids,doc_names,ID,business_name,problem_type,subcategories,business_names,query,problem_types,doc_name_1,doc_id_1,doc_content_1,score_1,doc_name_2,doc_id_2,doc_content_2,score_2,match_flag
17cb8d83-9a18-45a7-9a25-8a75eef994a6,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,202,Ultra mobile,International phone plan inquiry,Account Information Update,Ultra Mobile,Contact Information and Authentication for Ultra Mobile - International phone plan inquiry,,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,617bc2d7-f13b-4bd7-9f4b-f21f6ff38d01,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,0.938810466,Contact Information and Authentication for T-Mobile - Billing Dispute,07ac45d9-6525-4389-9f30-a11b29b4d011,Contact Information and Authentication for T-Mobile - Seeking Refund,0.644300426,1
17cb8d83-9a18-45a7-9a25-8a75eef994a6,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,202,Ultra mobile,International phone plan inquiry,Account Information Update,UltraMobile,Contact Information and Authentication for UltraMobile - International phone plan inquiry,,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,617bc2d7-f13b-4bd7-9f4b-f21f6ff38d01,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,0.892579076,Contact Information and Authentication for T-Mobile - Billing Dispute,07ac45d9-6525-4389-9f30-a11b29b4d011,Contact Information and Authentication for T-Mobile - Seeking Refund,0.63973765,1
17cb8d83-9a18-45a7-9a25-8a75eef994a6,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,202,Ultra mobile,International phone plan inquiry,Account Information Update,Ultra M,Contact Information and Authentication for Ultra M - International phone plan inquiry,,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,617bc2d7-f13b-4bd7-9f4b-f21f6ff38d01,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,0.864079425,General solution for Ultra Mobile - International Phone Plan Inquiry,4a516f49-2aeb-47b3-8e6a-28f823307ff0,General solution for Ultra Mobile - International Phone Plan Inquiry,0.584567002,1
17cb8d83-9a18-45a7-9a25-8a75eef994a6,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,202,Ultra mobile,International phone plan inquiry,Account Information Update,UMobile,Contact Information and Authentication for UMobile - International phone plan inquiry,,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,617bc2d7-f13b-4bd7-9f4b-f21f6ff38d01,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,0.816827799,Contact Information and Authentication for T-Mobile - Billing Dispute,07ac45d9-6525-4389-9f30-a11b29b4d011,Contact Information and Authentication for T-Mobile - Seeking Refund,0.62354665,1
17cb8d83-9a18-45a7-9a25-8a75eef994a6,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,202,Ultra mobile,International phone plan inquiry,Account Information Update,UltraM,Contact Information and Authentication for UltraM - International phone plan inquiry,,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,617bc2d7-f13b-4bd7-9f4b-f21f6ff38d01,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,0.838931193,Contact Information and Authentication for T-Mobile - Billing Dispute,07ac45d9-6525-4389-9f30-a11b29b4d011,Contact Information and Authentication for T-Mobile - Seeking Refund,0.587789362,1
17cb8d83-9a18-45a7-9a25-8a75eef994a6,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,202,Ultra mobile,International phone plan inquiry,Account Information Update,,Contact Information and Authentication for Ultra mobile - Inquiry about International phone package,Inquiry about International phone package,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,617bc2d7-f13b-4bd7-9f4b-f21f6ff38d01,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,0.903145076,General solution for Ultra Mobile - International Phone Plan Inquiry,4a516f49-2aeb-47b3-8e6a-28f823307ff0,General solution for Ultra Mobile - International Phone Plan Inquiry,0.629600997,1
17cb8d83-9a18-45a7-9a25-8a75eef994a6,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,202,Ultra mobile,International phone plan inquiry,Account Information Update,,Contact Information and Authentication for Ultra mobile - Question about global phone plan,Question about global phone plan,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,617bc2d7-f13b-4bd7-9f4b-f21f6ff38d01,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,0.843290406,Contact Information and Authentication for AT&T - Lower Wireless Bill,9209681c-2ead-4a16-b9e9-dc6e281e8049,Contact Information and Authentication for AT&T - Lower Wireless Bill,0.568821666,1
17cb8d83-9a18-45a7-9a25-8a75eef994a6,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,202,Ultra mobile,International phone plan inquiry,Account Information Update,,Contact Information and Authentication for Ultra mobile - Seeking information on International phone tariff,Seeking information on International phone tariff,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,617bc2d7-f13b-4bd7-9f4b-f21f6ff38d01,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,0.82025053,Contact Information and Authentication for T-Mobile - Billing Dispute,07ac45d9-6525-4389-9f30-a11b29b4d011,Contact Information and Authentication for T-Mobile - Seeking Refund,0.647504229,1
17cb8d83-9a18-45a7-9a25-8a75eef994a6,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,202,Ultra mobile,International phone plan inquiry,Account Information Update,,Contact Information and Authentication for Ultra mobile - Query regarding foreign calling plan,Query regarding foreign calling plan,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,617bc2d7-f13b-4bd7-9f4b-f21f6ff38d01,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,0.828953824,Contact Information and Authentication for T-Mobile - Billing Dispute,07ac45d9-6525-4389-9f30-a11b29b4d011,Contact Information and Authentication for T-Mobile - Seeking Refund,0.605244576,1
17cb8d83-9a18-45a7-9a25-8a75eef994a6,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,202,Ultra mobile,International phone plan inquiry,Account Information Update,,Contact Information and Authentication for Ultra mobile - International calling plan assistance needed,International calling plan assistance needed,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,617bc2d7-f13b-4bd7-9f4b-f21f6ff38d01,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,0.878899661,Contact Information and Authentication for T-Mobile - Billing Dispute,07ac45d9-6525-4389-9f30-a11b29b4d011,Contact Information and Authentication for T-Mobile - Seeking Refund,0.607598631,1
9e56faf7-f690-4dee-a5ca-dcb087834ebf,Contact Information and Authentication for Nordstrom - Gift Sender Identification,105,Nordstrom,Gift sender identification,Account Information Update,Nordstrom,Contact Information and Authentication for Nordstrom - Gift sender identification,,Contact Information and Authentication for Nordstrom - Gift Sender Identification,daadd658-8785-41a9-b616-9465f97e8a90,Contact Information and Authentication for Nordstrom - Gift Sender Identification,0.914653881,General solution for Nordstrom - gift sender identification,3aa30137-1de0-4e34-b940-ca983b324902,"Keywords
Nordstrom, gift identification, sender tracking, customer service, order verification",0.615034776,1
9e56faf7-f690-4dee-a5ca-dcb087834ebf,Contact Information and Authentication for Nordstrom - Gift Sender Identification,105,Nordstrom,Gift sender identification,Account Information Update,Nordys,Contact Information and Authentication for Nordys - Gift sender identification,,Contact Information and Authentication for Nordstrom - Gift Sender Identification,daadd658-8785-41a9-b616-9465f97e8a90,Contact Information and Authentication for Nordstrom - Gift Sender Identification,0.838447135,General solution for Nordstrom - gift sender identification,3aa30137-1de0-4e34-b940-ca983b324902,"Keywords
Nordstrom, gift identification, sender tracking, customer service, order verification",0.544931312,1
9e56faf7-f690-4dee-a5ca-dcb087834ebf,Contact Information and Authentication for Nordstrom - Gift Sender Identification,105,Nordstrom,Gift sender identification,Account Information Update,Nords,Contact Information and Authentication for Nords - Gift sender identification,,Contact Information and Authentication for Nordstrom - Gift Sender Identification,daadd658-8785-41a9-b616-9465f97e8a90,Contact Information and Authentication for Nordstrom - Gift Sender Identification,0.802678712,General solution for Nordstrom - gift sender identification,3aa30137-1de0-4e34-b940-ca983b324902,General solution for Nordstrom - gift sender identification,0.52815296,1
9e56faf7-f690-4dee-a5ca-dcb087834ebf,Contact Information and Authentication for Nordstrom - Gift Sender Identification,105,Nordstrom,Gift sender identification,Account Information Update,Nordstroms,Contact Information and Authentication for Nordstroms - Gift sender identification,,Contact Information and Authentication for Nordstrom - Gift Sender Identification,daadd658-8785-41a9-b616-9465f97e8a90,Contact Information and Authentication for Nordstrom - Gift Sender Identification,0.899701334,General solution for Nordstrom - gift sender identification,3aa30137-1de0-4e34-b940-ca983b324902,"Keywords
Nordstrom, gift identification, sender tracking, customer service, order verification",0.60184162,1
9e56faf7-f690-4dee-a5ca-dcb087834ebf,Contact Information and Authentication for Nordstrom - Gift Sender Identification,105,Nordstrom,Gift sender identification,Account Information Update,Nrdstrm,Contact Information and Authentication for Nrdstrm - Gift sender identification,,Contact Information and Authentication for Nordstrom - Gift Sender Identification,daadd658-8785-41a9-b616-9465f97e8a90,Contact Information and Authentication for Nordstrom - Gift Sender Identification,0.739083744,General solution for Nordstrom - gift sender identification,3aa30137-1de0-4e34-b940-ca983b324902,General solution for Nordstrom - gift sender identification,0.479603958,1
9e56faf7-f690-4dee-a5ca-dcb087834ebf,Contact Information and Authentication for Nordstrom - Gift Sender Identification,105,Nordstrom,Gift sender identification,Account Information Update,,Contact Information and Authentication for Nordstrom - Determining the sender of the gift,Determining the sender of the gift,Contact Information and Authentication for Nordstrom - Gift Sender Identification,daadd658-8785-41a9-b616-9465f97e8a90,Contact Information and Authentication for Nordstrom - Gift Sender Identification,0.848096283,General solution for Nordstrom - gift sender identification,3aa30137-1de0-4e34-b940-ca983b324902,General solution for Nordstrom - gift sender identification,0.616880288,1
9e56faf7-f690-4dee-a5ca-dcb087834ebf,Contact Information and Authentication for Nordstrom - Gift Sender Identification,105,Nordstrom,Gift sender identification,Account Information Update,,Contact Information and Authentication for Nordstrom - Identification of the individual who sent the gift,Identification of the individual who sent the gift,Contact Information and Authentication for Nordstrom - Gift Sender Identification,daadd658-8785-41a9-b616-9465f97e8a90,Contact Information and Authentication for Nordstrom - Gift Sender Identification,0.883182732,General solution for Nordstrom - gift sender identification,3aa30137-1de0-4e34-b940-ca983b324902,"Keywords
Nordstrom, gift identification, sender tracking, customer service, order verification",0.5654347,1
9e56faf7-f690-4dee-a5ca-dcb087834ebf,Contact Information and Authentication for Nordstrom - Gift Sender Identification,105,Nordstrom,Gift sender identification,Account Information Update,,Contact Information and Authentication for Nordstrom - Recognizing the person behind the gift,Recognizing the person behind the gift,Contact Information and Authentication for Nordstrom - Gift Sender Identification,daadd658-8785-41a9-b616-9465f97e8a90,Contact Information and Authentication for Nordstrom - Gift Sender Identification,0.838264071,General solution for Nordstrom - gift sender identification,3aa30137-1de0-4e34-b940-ca983b324902,"Keywords
Nordstrom, gift identification, sender tracking, customer service, order verification",0.568365747,1
